corpus_id,definition,form,surface_stem,underlying_stem
59,he/she is giving him/her it,present,t-e33h,tee'h
59,he/she is giving him/her it,present,t-e33h,teeh'
59,he/she is giving him/her it,present_1sg,t-e33h,tee'h
59,he/she is giving him/her it,present_1sg,t-e33h,teeh'
59,he/she is giving him/her it,imperfective,t-e33h,tee'h
59,he/she is giving him/her it,imperfective,t-e33h,teeh'
59,he/she is giving him/her it,perfective,t-e33l,tee'l
59,he/she is giving him/her it,perfective,t-e33l,teel'
59,he/she is giving him/her it,infinitive,t-e3ht,teh't
72,he/she is laying it down,present,-t-i3',ti'
72,he/she is laying it down,present_1sg,-t-i3',ti'
72,he/she is laying it down,imperfective,-t-i32hsk,ti'hsk
72,he/she is laying it down,perfective,-t-,t
72,he/she is laying it down,imperative,-t-a2,ta
80,he/she is leaving it behind,present,ti32hs-i22y-a3',ti'hsiiya'
80,he/she is leaving it behind,present_1sg,ti32hs-i22y-a3',ti'hsiiya'
80,he/she is leaving it behind,imperfective,ti32hs-i22y-a32hsk,ti'hsiiya'hsk
80,he/she is leaving it behind,perfective,ti32hs-i22y-,ti'hsiiy
95,he/she is drawing a liquid out of a container,present_1sg,tl-i3',tli'
95,he/she is drawing a liquid out of a container,perfective,tl-v22h,tlvvh
95,he/she is drawing a liquid out of a container,imperative,tl-a2,tla
95,he/she is drawing a liquid out of a container,infinitive,tl-v2ht,tlvht
96,he/she is pouring a liquid into a container,present,tli32hst-i2h,tli'hstih
96,he/she is pouring a liquid into a container,present_1sg,tli32hst-i2h,tli'hstih
96,he/she is pouring a liquid into a container,imperfective,tli32hst-i22hsk,tli'hstiihsk
96,he/she is pouring a liquid into a container,perfective,tli32hst-ha2n,tli'hsthan
112,it is shining,present,ka33l-i2h,kaa'lih
112,it is shining,present,ka33l-i2h,kaal'ih
112,it is shining,imperfective,ka33l-i22hsk,kaa'liihsk
112,it is shining,imperfective,ka33l-i22hsk,kaal'iihsk
112,it is shining,perfective,ka33l-i22hs,kaa'liihs
112,it is shining,perfective,ka33l-i22hs,kaal'iihs
112,it is shining,infinitive,ka22l-i23hi3hst,kaaliihih'st
115,he/she is licking it,present,ka2n-a23t-i3',kanaatii'
115,he/she is licking it,present,ka2n-a23t-i3',kanaati'
115,he/she is licking it,present_1sg,ka2n-a23t-i3',kanaatii'
115,he/she is licking it,present_1sg,ka2n-a23t-i3',kanaati'
115,he/she is licking it,imperfective,ka2n-a23t-i32hsk,kanaatii'hsk
115,he/she is licking it,imperfective,ka2n-a23t-i32hsk,kanaati'hsk
115,he/she is licking it,perfective,ka2n-a33t-,kanaa't
115,he/she is licking it,perfective,ka2n-a33t-,kanaat'
115,he/she is licking it,infinitive,ka2n-a23t-i32hst,kanaatii'hst
115,he/she is licking it,infinitive,ka2n-a23t-i32hst,kanaati'hst
117,he/she is warming it,present,ka22na2wht-i3h,kaanawhtih'
117,he/she is warming it,perfective,ka22na2wht-ha2n,kaanawhthan
117,he/she is warming it,imperative,ka22na2wht-a2,kaanawhta
117,he/she is warming it,infinitive,ka22na2wht-o3ht,kaanawhtoh't
118,it’s getting warm,present,ka22na2wo22-hsk,kaanawoohsk
118,it’s getting warm,imperfective,ka22na2wo22-hsk,kaanawoohsk
118,it’s getting warm,perfective,ka22na2wo22-hs,kaanawoohs
118,it’s getting warm,infinitive,ka22na2wo22-hi2hst,kaanawoohihst
127,he/she is eating it,present,k-i3',ki'
127,he/she is eating it,present_1sg,k-i3',ki'
127,he/she is eating it,imperfective,k-i32hsk,ki'hsk
127,he/she is eating it,perfective,k-,k
127,he/she is eating it,imperative,k-a2,ka
128,he/she is picking it up,present,-ki33',kii'
128,he/she is picking it up,present_1sg,-ki33',kii'
128,he/she is picking it up,imperfective,-ki33hsk,kii'hsk
128,he/she is picking it up,imperfective,-ki33hsk,kiih'sk
128,he/she is picking it up,perfective,-ki33hs,kii'hs
128,he/she is picking it up,perfective,-ki33hs,kiih's
128,he/she is picking it up,imperative,-ki2,ki
130,he/she is in agony,present,ki22lhi23yo32-k,kiilhiiyoo'k
130,he/she is in agony,present,ki22lhi23yo32-k,kiilhiiyo'k
130,he/she is in agony,imperfective,ki22lhi23yo32-k,kiilhiiyoo'k
130,he/she is in agony,imperfective,ki22lhi23yo32-k,kiilhiiyo'k
