class,strictness,match_count,present_rate,imperfective_rate,perfective_rate,imperative_rate,infinitive_rate
Ia,loose,0,0.0,0.0,0.0,0.0,0.0
Ia,strict,0,0.0,0.0,0.0,0.0,0.0
Ia*,loose,0,0.0,0.0,0.0,0.0,0.0
Ia*,strict,0,0.0,0.0,0.0,0.0,0.0
Ib,loose,0,0.0,0.0,0.0,0.0,0.0
Ib,strict,0,0.0,0.0,0.0,0.0,0.0
Ic,loose,0,0.0,0.0,0.0,0.0,0.0
Ic,strict,0,0.0,0.0,0.0,0.0,0.0
Ic*,loose,0,0.0,0.0,0.0,0.0,0.0
Ic*,strict,0,0.0,0.0,0.0,0.0,0.0
Id,loose,0,0.0,0.0,0.0,0.0,0.0
Id,strict,0,0.0,0.0,0.0,0.0,0.0
IIa,loose,6,0.0,0.0,0.0,0.833,0.0
IIa,strict,5,0.0,0.0,0.0,1.0,0.0
IIb,loose,0,0.0,0.0,0.0,0.0,0.0
IIb,strict,0,0.0,0.0,0.0,0.0,0.0
IIb*,loose,1,0.0,0.0,0.0,0.0,0.0
IIb*,strict,0,0.0,0.0,0.0,0.0,0.0
IIc,loose,0,0.0,0.0,0.0,0.0,0.0
IIc,strict,0,0.0,0.0,0.0,0.0,0.0
IIc*,loose,0,0.0,0.0,0.0,0.0,0.0
IIc*,strict,0,0.0,0.0,0.0,0.0,0.0
IIIa1,loose,4,0.0,0.0,1.0,0.5,1.0
IIIa1,strict,4,0.0,0.0,1.0,0.5,1.0
IIIa1*,loose,0,0.0,0.0,0.0,0.0,0.0
IIIa1*,strict,0,0.0,0.0,0.0,0.0,0.0
IIIa1**,loose,0,0.0,0.0,0.0,0.0,0.0
IIIa1**,strict,0,0.0,0.0,0.0,0.0,0.0
IIIa2,loose,60,0.183,0.183,0.45,0.4,0.283
IIIa2,strict,11,0.818,0.818,1.0,0.818,0.182
IIIa2*,loose,0,0.0,0.0,0.0,0.0,0.0
IIIa2*,strict,0,0.0,0.0,0.0,0.0,0.0
IIIa2**,loose,0,0.0,0.0,0.0,0.0,0.0
IIIa2**,strict,0,0.0,0.0,0.0,0.0,0.0
IIIa2***,loose,0,0.0,0.0,0.0,0.0,0.0
IIIa2***,strict,0,0.0,0.0,0.0,0.0,0.0
IIIa3,loose,0,0.0,0.0,0.0,0.0,0.0
IIIa3,strict,0,0.0,0.0,0.0,0.0,0.0
IIIb,loose,0,0.0,0.0,0.0,0.0,0.0
IIIb,strict,0,0.0,0.0,0.0,0.0,0.0
IIIc1,loose,16,0.0,0.0,0.0,0.062,0.062
IIIc1,strict,5,0.0,0.0,0.0,0.2,0.2
IIIc1*,loose,31,0.0,0.0,0.0,0.032,0.0
IIIc1*,strict,6,0.0,0.0,0.0,0.0,0.0
IIIc2,loose,35,0.0,0.0,0.0,0.086,0.886
IIIc2,strict,31,0.0,0.0,0.0,0.032,1.0
IIId*,loose,0,0.0,0.0,0.0,0.0,0.0
IIId*,strict,0,0.0,0.0,0.0,0.0,0.0
IVa,loose,19,0.158,0.158,0.158,0.053,0.158
IVa,strict,0,0.0,0.0,0.0,0.0,0.0
