macro_class,variant_name,match_count,match_percent,can_have_variants
cause,cause,74,88.1,True
i-a-i,i-a-i,28,93.33,True
ih-vh,ih-vh,24,72.73,True
hvsk-han,hvsk-han,19,82.61,True
stative,stative,18,85.71,True
go,go,15,88.24,True
become,become,14,42.42,True
hih-lh,hih-lh,11,64.71,True
apl,apl,10,55.56,True
hvsk-nh,hvsk-nh,10,62.5,True
vsk,vsk[imp2],10,83.33,True
become,become[inf2],8,24.24,True
cause,cause[perf2],8,9.52,True
ih-vh,ih-vh[inf2],8,24.24,True
become,become[inf3],7,21.21,True
hih-lh,hih-lh[imp2],6,35.29,True
go-in,go-in,5,83.33,True
hih-hil,hih-hil,5,71.43,True
sk-h,sk-h,5,55.56,True
apl,apl[imp2],4,22.22,True
become,become[inf4],4,12.12,True
episodic,episodic,4,66.67,True
hvsk-han,hvsk-han[inf2],4,17.39,True
hvsk-nh,hvsk-nh[inf2],4,25.0,True
sk-h,sk-h[imp2],4,44.44,True
sk-s-a,sk-s-a[inf2],4,66.67,True
apl,apl[imp3],3,16.67,True
oh-al,oh-al,3,75.0,True
stative,stative[inf2],3,14.29,True
vnh-vsk,vnh-vsk,3,37.5,True
go,go[pres2],2,11.76,True
hih-hil,hih-hil[imp2],2,28.57,True
i-a-i,i-a-i[perf2],2,6.67,True
oh-ol,oh-ol,2,33.33,True
oh-ol,oh-ol[inf2],2,33.33,True
oh-ol,oh-ol[inf3],2,33.33,True
sk-s-a,sk-s-a,2,33.33,True
sk-s-hst,sk-s-hst,2,50.0,True
sk-s-hst,sk-s-hst[imp2],2,50.0,True
vnh-vsk,vnh-vsk[inf2],2,25.0,True
vnh-vsk,vnh-vsk[inf3],2,25.0,True
vsk,vsk,2,16.67,True
apl,apl[imp4],1,5.56,True
cause,cause[perf3],1,1.19,True
cause,cause[pres2],1,1.19,True
episodic,episodic[inf2],1,16.67,True
episodic,episodic[imp2],1,16.67,True
go-in,go-in[perf2],1,16.67,True
hvsk-nh,hvsk-nh[inf4],1,6.25,True
hvsk-nh,hvsk-nh[inf3],1,6.25,True
ih-vh,ih-vh[imperf2-inf2],1,3.03,True
oh-al,oh-al[imp2],1,25.0,True
vnh-vsk,vnh-vsk[inf4],1,12.5,True
vsk-long,vsk-long,1,50.0,True
vsk-long,vsk-long[imp2],1,50.0,True
