macro_class,variant_name,match_count,match_percent,can_have_variants
cause,cause,75,90.36,True
ih-vh,ih-vh,23,71.88,True
hvsk-han,hvsk-han,19,82.61,True
stative,stative,19,86.36,True
become,become,14,43.75,True
go,go,14,87.5,True
hih-lh,hih-lh,11,61.11,True
apl,apl,10,55.56,True
hvsk-nh,hvsk-nh,10,66.67,True
vsk,vsk[imp2],10,83.33,True
become,become[inf2],8,25.0,True
ih-vh,ih-vh[inf2],8,25.0,True
become,become[inf3],7,21.88,True
i-a,i-a,7,77.78,True
ih-l,ih-l,7,70.0,True
cause,cause[perf2],6,7.23,True
hih-lh,hih-lh[imp2],6,33.33,True
go-in,go-in,5,83.33,True
hih-hil,hih-hil,5,83.33,True
sk-h,sk-h,5,55.56,True
apl,apl[imp2],4,22.22,True
episodic,episodic,4,66.67,True
hvsk-han,hvsk-han[inf2],4,17.39,True
sk-h,sk-h[imp2],4,44.44,True
sk-s-hst,sk-s-hst,4,66.67,True
apl,apl[imp3],3,16.67,True
become,become[inf4],3,9.38,True
hvsk-nh,hvsk-nh[inf2],3,20.0,True
oh-al,oh-al,3,75.0,True
stative,stative[inf2],3,13.64,True
vnh-vsk,vnh-vsk,3,37.5,True
go,go[pres2],2,12.5,True
i-a,i-a[perf2],2,22.22,True
ih-l,ih-l[perf2],2,20.0,True
oh-ol,oh-ol,2,33.33,True
oh-ol,oh-ol[inf2],2,33.33,True
oh-ol,oh-ol[inf3],2,33.33,True
sk-s-a,sk-s-a[inf2],2,50.0,True
sk-s-a,sk-s-a,2,50.0,True
sk-s-hst,sk-s-hst[imp2],2,33.33,True
vnh-vsk,vnh-vsk[inf2],2,25.0,True
vnh-vsk,vnh-vsk[inf3],2,25.0,True
vsk,vsk,2,16.67,True
apl,apl[imp4],1,5.56,True
cause,cause[perf3],1,1.2,True
cause,cause[pres2],1,1.2,True
episodic,episodic[inf2],1,16.67,True
episodic,episodic[imp2],1,16.67,True
go-in,go-in[perf2],1,16.67,True
hih-hil,hih-hil[inf2],1,16.67,True
hih-lh,hih-lh[imp3-inf2],1,5.56,True
hvsk-nh,hvsk-nh[inf4],1,6.67,True
hvsk-nh,hvsk-nh[inf3],1,6.67,True
ih-l,ih-l[inf2],1,10.0,True
ih-vh,ih-vh[imperf2-inf2],1,3.12,True
oh-al,oh-al[imp2],1,25.0,True
vnh-vsk,vnh-vsk[inf4],1,12.5,True
vsk-long,vsk-long,1,50.0,True
vsk-long,vsk-long[imp2],1,50.0,True
