class,stem final,present,imperfective,perfective,imperative,infinitive
Ia,,i,isk,is,i,ist
Ia*,,e,esk,es,aki,est
Ib,,o,osk,o,otsa,ost
Ic,,v,vsk,v,vna,vst
Ic*,,v,vsk,vs,vna,vst
Id,,e,esk,e,a,et
IIa,y;l,eh,esk,eh,a,eht
IIb,k;y,eh,esk,eh,vli,eht
IIb*,k;y,eh,esk,eh,vla,eht
IIc,h,eh,esk,ehl,vli,eht
IIc*,h,eh,esk,ehl,vla,eht
IIIa1,v;vv,sk,sk,*n,ka,*t
IIIa1*,,vsk,vsk,vn,vka,vt
IIIa1**,,vsk,vsk,vn,vvka,vt
IIIa2,u;v;o,hvsk,hvsk,hn,hvka,ht
IIIa2*,,vsk,vsk,an,vka,t
IIIa2**,,vsk,vsk,an,vka,vst
IIIa3,,ahvsk,ahvsk,ahn,ahvka,oht
IIIb,,ask,ask,an,aka,t
IIIc1,o;u;a,sk,sk,s,hi,hist
IIIc1*,e;v,sk,sk,s,hi,hist
IIIc2,i;iw,sk,sk,s,hi,st
IIId*,,sk,sk,s,a,st
IVa,ht;t;kt;st,ih,isk,han,a,oht
IVb,n;l;s;y;t;th;ts,ih,isk,vh,a,ht
IVb*,,ih,isk,vh,a,vht
Va,,i,isk,v,a,ht
Vb,t;k;ts,i,isk,n,a,ist
Vb*,t;k,i,isk,,a,ist
Vc,,i,isk,an,aka,ot
Vc1*,,i,isk,an,vka,ot
Vc2*,,i,isk,is,a,ist
VIa1,hk,ih,ih,il,ka,st
VIa2,,ih,ih,l,ka,st
VIIa1,yol;yo,hih,hih,hl,haka,hst
VIIa2,,hih,hih,hl,ka,hst
VII*,,h,h,l,*aka,st
VIIIa,,k,k,ts,ki,ihst
IXa,t,oh,oh,ol,a,ast
X,,,is,es,uka,vst
Xa1*,,ek,ek,vs,uka,vst
Xa2*,,ek,ek,invs,uka,invt
XIa*,,eh,eh,el,*si,eht
XIb*,,eh,eh,el,si,eht
